Based on a simulation splitted into 64 batches and with 95.00% confidence;

NODE 1;mean;;interval;
avg interarrival;0.526896;+/-;0.005398;
avg wait;2.794548;+/-;0.121612;
avg delay;0.791424;+/-;0.109916;
avg service;2.002745;+/-;0.020380;
avg # in node;5.308439;+/-;0.238816;
avg # in queue;1.506199;+/-;0.211331;
avg utilizzation;0.760310;+/-;0.008587;
ploss;0.0000%;+/-;0.0000%;

NODE 2;mean;;interval;
avg interarrival;0.851531;+/-;0.011527;
avg wait;3.459592;+/-;0.073816;
avg delay;0.272919;+/-;0.045395;
avg service;3.186402;+/-;0.038383;
avg # in node;4.070431;+/-;0.103662;
avg # in queue;0.323469;+/-;0.055545;
avg utilizzation;0.624448;+/-;0.009802;
ploss;0.0000%;+/-;0.0000%;

NODE 3;mean;;interval;
avg interarrival;1.316833;+/-;0.024198;
avg wait;3.451649;+/-;0.186159;
avg delay;0.966347;+/-;0.159289;
avg service;2.485333;+/-;0.043864;
avg # in node;2.651815;+/-;0.173707;
avg # in queue;0.753821;+/-;0.131247;
avg utilizzation;0.632665;+/-;0.018284;
ploss;0.0000%;+/-;0.0000%;

NODE 4;mean;;interval
avg interarrival;0.370575;+/-;0.003254;
class[1];0.432015;+/-;0.004421;
class[2];2.593771;+/-;0.057358;
avg wait;3.009826;+/-;0.188996;
class[1];2.213994;+/-;0.072402;
class[2];7.886111;+/-;1.031419;
avg delay;1.723806;+/-;0.183611;
class[1];0.923627;+/-;0.065861;
class[2];6.624017;+/-;1.024925;
avg service;1.285926;+/-;0.011384;
class[1];1.290261;+/-;0.011738;
class[2];1.262038;+/-;0.029641;
avg # in node;8.123530;+/-;0.516680;
class[1];5.123931;+/-;0.176758;
class[2];2.999599;+/-;0.381231;
avg # in queue;4.653553;+/-;0.500156;
class[1];2.139361;+/-;0.155993;
class[2];2.514192;+/-;0.380350;
avg utilizzation;0.867453;+/-;0.008882;
class[1];0.746101;+/-;0.008427;
class[2];0.121352;+/-;0.003436;
ploss;0.0000%;+/-;0.0000%;

Average max response time:; 12.7156;+/-;0.3603;
class[1]; 11.9198;+/-;0.2898;
class[2]; 17.5919;+/-;1.1220;
